absolute_rank,transformed_feature,feature,coefficient,absolute_coefficient,odds_ratio,direction
142,numeric__pos_cash_month_count,pos_cash_month_count,0.08478073120158315,0.08478073120158315,1.0884783711855632,Higher risk
143,numeric__credit_card_mean_credit_limit,credit_card_mean_credit_limit,-0.0846054368930885,0.0846054368930885,0.9188747669685485,Lower risk
144,categorical__WEEKDAY_APPR_PROCESS_START_SUNDAY,WEEKDAY_APPR_PROCESS_START_SUNDAY,-0.08385366688188793,0.08385366688188793,0.919565809182265,Lower risk
145,numeric__prev_approved_count,prev_approved_count,0.08229038187811898,0.08229038187811898,1.0857710522943569,Higher risk
146,numeric__FLAG_DOCUMENT_4,FLAG_DOCUMENT_4,-0.08224866712177942,0.08224866712177942,0.9210428971312239,Lower risk
147,categorical__WALLSMATERIAL_MODE_Others,WALLSMATERIAL_MODE_Others,0.08090444569554332,0.08090444569554332,1.0842672852103001,Higher risk
148,categorical__NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Higher education,0.08076866138893062,0.08076866138893062,1.0841200687238655,Higher risk
149,categorical__WEEKDAY_APPR_PROCESS_START_SATURDAY,WEEKDAY_APPR_PROCESS_START_SATURDAY,-0.0797851609523253,0.0797851609523253,0.9233146891285064,Lower risk
150,categorical__NAME_TYPE_SUITE_Other_B,NAME_TYPE_SUITE_Other_B,0.07890428839289113,0.07890428839289113,1.082100747512152,Higher risk
151,numeric__installment_payment_ratio,installment_payment_ratio,-0.07810006606321254,0.07810006606321254,0.9248718736255437,Lower risk
152,numeric__FLOORSMAX_AVG,FLOORSMAX_AVG,-0.07808474026039453,0.07808474026039453,0.9248860481381285,Lower risk
153,numeric__credit_card_max_balance,credit_card_max_balance,0.07777870832422674,0.07777870832422674,1.0808834416945685,Higher risk
154,numeric__bureau_days_credit_max,bureau_days_credit_max,-0.0751726109841365,0.0751726109841365,0.927583361432407,Lower risk
155,numeric__CNT_CHILDREN,CNT_CHILDREN,0.07506320901609814,0.07506320901609814,1.0779522850346004,Higher risk
156,numeric__bureau_max_credit_sum,bureau_max_credit_sum,-0.0738695605832803,0.0738695605832803,0.9287928371361145,Lower risk
157,numeric__credit_card_late_count,credit_card_late_count,-0.07345043797289723,0.07345043797289723,0.9291821968035405,Lower risk
158,numeric__CNT_FAM_MEMBERS,CNT_FAM_MEMBERS,-0.07241192016856014,0.07241192016856014,0.9301476703023296,Lower risk
159,numeric__bureau_days_credit_mean,bureau_days_credit_mean,0.071652070980185,0.071652070980185,1.0742815053217594,Higher risk
160,numeric__LANDAREA_AVG,LANDAREA_AVG,0.07124457089331372,0.07124457089331372,1.0738438246985191,Higher risk
161,categorical__WEEKDAY_APPR_PROCESS_START_MONDAY,WEEKDAY_APPR_PROCESS_START_MONDAY,-0.0701349486540274,0.0701349486540274,0.9322680031045234,Lower risk
162,categorical__OCCUPATION_TYPE_Security staff,OCCUPATION_TYPE_Security staff,0.0692940777382288,0.0692940777382288,1.071751341019752,Higher risk
163,categorical__HOUSETYPE_MODE_block of flats,HOUSETYPE_MODE_block of flats,-0.06759092904278029,0.06759092904278029,0.9346427305832214,Lower risk
164,categorical__OCCUPATION_TYPE_Managers,OCCUPATION_TYPE_Managers,-0.06756591922356443,0.06756591922356443,0.9346661061212526,Lower risk
165,numeric__COMMONAREA_MODE,COMMONAREA_MODE,0.06736157037572094,0.06736157037572094,1.0696821736470012,Higher risk
166,numeric__FLAG_DOCUMENT_8,FLAG_DOCUMENT_8,0.06667084241078192,0.06667084241078192,1.0689435693727463,Higher risk
167,categorical__NAME_HOUSING_TYPE_Municipal apartment,NAME_HOUSING_TYPE_Municipal apartment,0.06666030646760036,0.06666030646760036,1.0689323071033643,Higher risk
168,numeric__NONLIVINGAREA_MODE,NONLIVINGAREA_MODE,-0.06608200708383191,0.06608200708383191,0.936054098077083,Lower risk
169,numeric__DAYS_LAST_PHONE_CHANGE,DAYS_LAST_PHONE_CHANGE,0.0638588987306777,0.0638588987306777,1.0659419823830456,Higher risk
170,"categorical__NAME_TYPE_SUITE_Spouse, partner","NAME_TYPE_SUITE_Spouse, partner",-0.06218790389664698,0.06218790389664698,0.9397062957258633,Lower risk
171,numeric__REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_LIVE_CITY,0.06211669198979188,0.06211669198979188,1.0640865078553838,Higher risk
172,categorical__NAME_TYPE_SUITE_Children,NAME_TYPE_SUITE_Children,0.060903870078220596,0.060903870078220596,1.0627967427086618,Higher risk
173,categorical__ORGANIZATION_TYPE_Industry: type 5,ORGANIZATION_TYPE_Industry: type 5,-0.06081659015251811,0.06081659015251811,0.9409958118481494,Lower risk
174,numeric__FLAG_WORK_PHONE,FLAG_WORK_PHONE,0.05971799385345578,0.05971799385345578,1.0615371443312251,Higher risk
175,categorical__OCCUPATION_TYPE_Realty agents,OCCUPATION_TYPE_Realty agents,-0.057871912666926435,0.057871912666926435,0.9437708247831839,Lower risk
176,categorical__NAME_HOUSING_TYPE_House / apartment,NAME_HOUSING_TYPE_House / apartment,-0.05776639911709847,0.05776639911709847,0.9438704106468675,Lower risk
177,categorical__ORGANIZATION_TYPE_Industry: type 7,ORGANIZATION_TYPE_Industry: type 7,0.056993831226721574,0.056993831226721574,1.0586492798079687,Higher risk
178,categorical__OCCUPATION_TYPE_Cooking staff,OCCUPATION_TYPE_Cooking staff,0.05541638670536045,0.05541638670536045,1.0569806357442226,Higher risk
179,numeric__installment_underpayment_flag,installment_underpayment_flag,0.05308413265857311,0.05308413265857311,1.0545183608205697,Higher risk
180,categorical__ORGANIZATION_TYPE_University,ORGANIZATION_TYPE_University,0.05071242383295581,0.05071242383295581,1.0520203138084687,Higher risk
181,categorical__NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Single / not married,0.05020568315188394,0.05020568315188394,1.0514873473674415,Higher risk
182,categorical__NAME_HOUSING_TYPE_With parents,NAME_HOUSING_TYPE_With parents,-0.050160768863563,0.050160768863563,0.9510765087195269,Lower risk
183,categorical__FONDKAPREMONT_MODE_org spec account,FONDKAPREMONT_MODE_org spec account,-0.05000064226039245,0.05000064226039245,0.9512288135639267,Lower risk
184,categorical__NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Married,-0.04935623799959173,0.04935623799959173,0.9518419870089553,Lower risk
185,categorical__WALLSMATERIAL_MODE_Panel,WALLSMATERIAL_MODE_Panel,-0.04901012466381283,0.04901012466381283,0.952171489233481,Lower risk
186,numeric__NONLIVINGAREA_AVG,NONLIVINGAREA_AVG,0.046614837649650735,0.046614837649650735,1.0477183896776743,Higher risk
187,numeric__credit_card_max_utilization,credit_card_max_utilization,0.046380440603124504,0.046380440603124504,1.047472836361153,Higher risk
188,categorical__OCCUPATION_TYPE_Cleaning staff,OCCUPATION_TYPE_Cleaning staff,0.046028600376264155,0.046028600376264155,1.047104358107315,Higher risk
189,numeric__FLAG_DOCUMENT_13,FLAG_DOCUMENT_13,-0.045926614920934944,0.045926614920934944,0.9551120505923104,Lower risk
190,numeric__FLAG_DOCUMENT_5,FLAG_DOCUMENT_5,0.045594105426569,0.045594105426569,1.046649495376849,Higher risk
191,numeric__DAYS_ID_PUBLISH,DAYS_ID_PUBLISH,0.045239317297528274,0.045239317297528274,1.046278222426135,Higher risk
192,numeric__REGION_RATING_CLIENT,REGION_RATING_CLIENT,-0.044735535398030934,0.044735535398030934,0.956250342761525,Lower risk
193,numeric__LIVE_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,-0.04404162243453289,0.04404162243453289,0.9569141275485157,Lower risk
194,numeric__installment_mean_instalment,installment_mean_instalment,0.04321929901775469,0.04321929901775469,1.0441668545099467,Higher risk
195,categorical__WALLSMATERIAL_MODE_Block,WALLSMATERIAL_MODE_Block,-0.04309916773704235,0.04309916773704235,0.9578164008722002,Lower risk
196,numeric__NONLIVINGAPARTMENTS_AVG,NONLIVINGAPARTMENTS_AVG,-0.04306249504380899,0.04306249504380899,0.9578515272233283,Lower risk
197,categorical__NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS_Separated,0.042924049105162225,0.042924049105162225,1.0438586098442653,Higher risk
198,numeric__prev_max_credit,prev_max_credit,0.042836164858512,0.042836164858512,1.0437668751478062,Higher risk
199,categorical__ORGANIZATION_TYPE_Emergency,ORGANIZATION_TYPE_Emergency,-0.042740990792507844,0.042740990792507844,0.9581595300709053,Lower risk
200,numeric__OWN_CAR_AGE,OWN_CAR_AGE,0.042421248647437605,0.042421248647437605,1.0433338891833845,Higher risk
201,numeric__FLOORSMAX_MEDI,FLOORSMAX_MEDI,0.04166432141369874,0.04166432141369874,1.042544460156635,Higher risk
202,numeric__installment_max_payment,installment_max_payment,0.041380785788918274,0.041380785788918274,1.0422489035641547,Higher risk
203,numeric__FLAG_DOCUMENT_16,FLAG_DOCUMENT_16,-0.041316557736889865,0.041316557736889865,0.9595253366972105,Lower risk
204,numeric__DEF_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,0.04044128403355964,0.04044128403355964,1.041270168723277,Higher risk
205,numeric__REG_REGION_NOT_WORK_REGION,REG_REGION_NOT_WORK_REGION,0.039641241612166,0.039641241612166,1.040437441569108,Higher risk
